Date,Open,High,Low,Close,Adj Close,Volume
2019-07-30,23.059999,23.059999,22.389999,22.389999,20.753746,0
2019-07-31,22.280001,22.760000,22.049999,22.760000,21.096706,320
2019-08-01,22.090000,22.090000,21.280001,21.280001,19.724865,0
2019-08-02,20.480000,20.480000,20.440001,20.440001,18.946253,0
2019-08-05,19.995001,20.420000,19.995001,20.420000,18.927713,300
2019-08-06,20.190001,20.580000,20.190001,20.360001,18.872099,0
2019-08-07,20.040001,20.040001,20.040001,20.040001,18.575485,0
2019-08-08,20.680000,20.950001,20.680000,20.950001,19.418980,0
2019-08-09,20.730000,20.730000,20.290001,20.290001,18.807213,162
2019-08-12,20.309999,20.309999,20.059999,20.080000,18.612560,1
2019-08-13,19.959999,20.840000,19.955000,20.840000,19.317020,3
2019-08-14,20.170000,20.170000,19.745001,19.745001,18.302044,0
2019-08-15,19.820000,19.820000,19.485001,19.625000,18.190811,0
2019-08-16,19.465000,19.465000,19.465000,19.465000,18.453897,0
2019-08-19,20.129999,20.430000,20.129999,20.219999,19.169678,0
2019-08-20,20.240000,20.240000,20.240000,20.240000,19.188639,0
2019-08-21,20.549999,20.549999,20.549999,20.549999,19.482536,0
2019-08-22,20.190001,20.190001,20.190001,20.190001,19.141237,0
2019-08-23,20.770000,20.770000,20.309999,20.309999,19.255003,0
2019-08-26,19.855000,19.855000,19.855000,19.855000,18.823639,0
2019-08-27,20.309999,20.440001,20.309999,20.360001,19.302406,29
2019-08-28,20.209999,20.639999,20.209999,20.639999,19.567862,0
2019-08-29,20.680000,21.389999,20.680000,21.389999,20.278902,0
2019-08-30,21.379999,21.900000,21.379999,21.900000,20.762411,0
2019-09-02,22.209999,22.209999,22.209999,22.209999,21.056307,0
2019-09-03,22.290001,22.870001,22.290001,22.870001,21.682024,0
2019-09-04,23.850000,23.850000,23.850000,23.850000,22.611118,0
2019-09-05,23.520000,24.219999,23.520000,24.219999,22.961899,230
2019-09-06,24.030001,24.030001,23.969999,23.969999,22.724884,0
2019-09-09,23.959999,24.520000,23.959999,24.520000,23.246315,0
2019-09-10,24.780001,25.299999,24.780001,25.299999,23.985798,0
2019-09-11,25.740000,25.740000,25.240000,25.240000,23.928915,0
2019-09-12,25.490000,25.490000,25.020000,25.020000,23.720343,0
2019-09-13,25.240000,25.469999,25.240000,25.469999,24.146967,0
2019-09-16,24.950001,25.129999,24.950001,25.129999,23.824629,0
2019-09-17,24.930000,24.930000,24.559999,24.559999,23.284239,0
2019-09-18,24.639999,24.639999,24.639999,24.639999,23.360081,100
2019-09-19,23.830000,24.209999,23.830000,24.209999,22.952417,0
2019-09-20,24.160000,24.160000,24.080000,24.080000,22.829172,0
2019-09-23,23.879999,23.879999,23.420000,23.500000,22.279299,0
2019-09-24,23.490000,23.490000,23.280001,23.280001,22.070728,0
2019-09-25,22.900000,22.900000,22.360001,22.430000,21.264881,0
2019-09-26,22.850000,22.850000,22.250000,22.250000,21.094233,0
2019-09-27,22.320000,22.320000,22.280001,22.280001,21.122673,0
2019-09-30,22.500000,22.500000,22.360001,22.360001,21.198517,21
2019-10-01,22.230000,22.250000,22.230000,22.250000,21.094233,0
2019-10-02,21.490000,21.580000,21.180000,21.180000,20.079811,88
2019-10-04,20.790001,20.790001,20.200001,20.200001,19.150717,12
2019-10-07,20.690001,20.719999,20.690001,20.719999,19.643707,0
2019-10-08,20.530001,20.530001,20.520000,20.520000,19.454096,0
2019-10-09,20.559999,20.559999,20.559999,20.559999,19.492016,5
2019-10-10,20.750000,21.040001,20.750000,21.040001,19.947084,0
2019-10-11,22.299999,22.520000,22.299999,22.520000,21.350206,2
2019-10-14,22.000000,22.230000,22.000000,22.230000,21.075270,0
2019-10-15,21.000000,21.000000,21.000000,21.000000,19.909161,0
2019-10-16,22.190001,22.850000,22.190001,22.850000,21.663065,5
2019-10-17,22.330000,22.530001,22.330000,22.530001,21.359688,0
2019-10-18,22.180000,22.730000,22.180000,22.680000,21.501894,5
